frame_idx,byte_offset,B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,state,marker_ok
0,0,06,66,00,60,80,66,E6,80,98,80,78,E6,00,7E,60,06,00,1E,00,00,98,0
1,22,06,66,00,60,80,66,E6,80,98,80,00,98,00,00,60,06,00,1E,00,00,98,0
2,44,06,66,00,60,80,66,E6,80,98,80,FE,60,00,E0,80,66,00,1E,00,00,98,0
3,66,06,66,00,60,80,66,E6,80,98,80,78,60,00,98,80,66,00,1E,00,00,98,0
4,88,06,66,00,60,80,66,E6,80,98,80,18,60,00,98,80,66,00,1E,00,00,98,0
5,110,06,66,00,60,80,66,E6,80,98,80,1E,60,00,98,80,66,00,1E,00,00,98,0
6,132,06,66,00,60,80,66,E6,80,98,80,E6,60,00,E0,80,66,00,1E,00,00,98,0
7,154,06,66,00,60,80,66,E6,80,98,80,E0,86,1E,00,60,06,00,1E,00,00,98,0
8,176,06,66,00,60,80,66,E6,80,98,80,E0,98,00,60,60,06,00,1E,00,00,98,0
9,198,06,66,00,60,80,66,E6,80,98,80,F8,98,1E,86,60,06,00,1E,00,00,98,0
10,220,06,66,00,60,80,66,E6,80,98,80,E0,98,1E,7E,60,06,00,1E,00,00,98,0
11,242,06,66,00,60,80,66,E6,80,98,80,86,98,00,00,60,06,00,1E,00,00,98,0
12,264,06,66,00,60,80,66,E6,80,98,80,E0,60,00,86,80,66,00,1E,00,00,98,0
13,286,06,66,00,60,80,66,E6,80,98,80,78,1E,18,66,00,1E,00,00,86,06,98,0
14,325,06,66,00,60,80,66,E6,80,86,80,60,18,F8,66,00,1E,00,00,06,06,86,0
15,364,06,66,00,60,80,66,E6,80,86,80,60,18,E6,66,00,1E,00,00,00,06,86,0
16,404,06,66,00,60,80,66,E6,80,86,80,F8,1E,18,66,00,1E,00,00,00,06,86,0
17,445,06,66,00,60,80,66,E6,80,98,80,06,E6,00,F8,60,06,00,1E,00,00,98,0
18,467,06,66,00,60,80,66,E6,80,98,80,E0,E6,00,78,98,06,00,1E,00,00,98,0
19,489,06,66,00,60,80,66,E6,80,98,80,06,1E,7E,98,06,00,1E,00,00,86,98,0
20,510,06,66,00,60,80,66,E6,80,98,80,78,E6,00,1E,98,06,00,1E,00,00,98,0
21,532,06,66,00,60,80,66,E6,80,98,80,9E,66,00,9E,60,06,00,1E,00,00,98,0
22,554,06,66,00,60,80,66,E6,80,98,80,60,98,00,00,60,06,00,1E,00,00,98,0
23,576,06,66,00,60,80,66,E6,80,98,80,1E,60,00,7E,66,00,1E,00,00,9E,98,0
24,597,06,66,00,60,80,66,E6,80,86,80,FE,1E,1E,66,00,1E,00,00,18,06,86,0
25,636,06,66,00,60,80,66,E6,80,86,80,98,1E,60,66,00,1E,00,00,F8,FE,86,0
26,656,06,66,00,60,80,66,E6,80,98,80,9E,80,1E,86,80,66,00,1E,00,00,98,0
27,677,06,66,00,60,80,66,E6,80,98,80,66,98,00,18,60,06,00,1E,00,00,98,0
28,699,06,66,00,60,80,66,E6,80,98,80,80,98,00,78,60,06,00,1E,00,00,98,0
29,721,06,66,00,60,80,66,E6,80,98,80,78,98,00,66,60,06,00,1E,00,00,98,0
30,743,06,66,00,60,80,66,E6,80,98,80,86,86,1E,06,60,06,00,1E,00,00,98,0
31,765,06,66,00,60,80,66,E6,80,98,80,78,60,00,E0,80,66,00,1E,00,00,98,0
32,787,06,66,00,60,80,66,E6,80,86,80,80,1E,60,66,00,1E,00,00,E0,FE,86,0
33,807,06,66,00,60,80,66,E6,80,86,80,00,18,F8,66,00,1E,00,00,E6,F8,86,0
34,827,06,66,00,60,80,66,E6,80,86,80,7E,7E,00,E0,66,00,1E,00,00,18,86,0
35,847,06,66,00,60,80,66,E6,80,86,80,E6,7E,00,E6,66,00,1E,00,00,86,86,0
36,868,06,66,00,60,80,66,E6,80,86,80,1E,18,F8,66,00,1E,00,00,00,FE,86,0
37,897,06,66,00,60,80,66,E6,80,86,80,7E,18,FE,66,00,1E,00,00,66,FE,86,0
38,917,06,66,00,60,80,66,E6,80,86,80,98,7E,00,9E,66,00,1E,00,00,60,86,0
