frame_idx,byte_offset,B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,state,marker_ok
0,19,06,66,00,60,80,66,E6,80,98,80,98,98,1E,E6,60,06,00,1E,00,00,98,0
1,41,06,66,00,60,80,66,E6,80,98,80,E6,66,00,18,98,06,00,1E,00,00,98,0
2,63,06,66,00,60,80,66,E6,80,98,80,7E,E6,00,86,86,66,00,1E,00,00,98,0
3,85,06,66,00,60,80,66,E6,80,98,80,E6,78,00,18,98,06,00,1E,00,00,98,0
4,106,06,66,00,60,80,66,E6,80,98,80,00,9E,00,78,98,06,00,1E,00,00,98,0
5,128,06,66,00,60,80,66,E6,80,98,80,80,9E,00,80,98,06,00,1E,00,00,98,0
6,149,06,66,00,60,80,66,E6,80,98,80,1E,9E,00,78,98,06,00,1E,00,00,98,0
7,171,06,66,00,60,80,66,E6,80,98,80,FE,E0,1E,9E,86,66,00,1E,00,00,98,0
8,193,06,66,00,60,80,66,E6,80,98,80,18,1E,86,86,66,00,1E,00,00,E0,98,0
9,214,06,66,00,60,80,66,E6,80,98,80,FE,9E,1E,1E,98,06,00,1E,00,00,98,0
10,235,06,66,00,60,80,66,E6,80,98,80,9E,9E,1E,06,98,06,00,1E,00,00,98,0
11,257,06,66,00,60,80,66,E6,80,98,80,7E,E6,00,FE,60,06,00,1E,00,00,98,0
12,279,06,66,00,60,80,66,E6,80,98,80,60,E6,00,1E,98,06,00,1E,00,00,98,0
13,301,06,66,00,60,80,66,E6,80,98,80,60,E6,00,66,98,06,00,1E,00,00,98,0
14,323,06,66,00,60,80,66,E6,80,98,80,86,9E,1E,18,98,06,00,1E,00,00,98,0
15,345,06,66,00,60,80,66,E6,80,98,80,FE,98,1E,98,60,06,00,1E,00,00,98,0
16,367,06,66,00,60,80,66,E6,80,98,80,7E,98,00,18,60,06,00,1E,00,00,98,0
17,389,06,66,00,60,80,66,E6,80,98,80,7E,98,00,18,60,06,00,1E,00,00,98,0
