frame_idx,byte_offset,B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,state,marker_ok
0,0,06,66,00,60,80,66,E6,80,98,80,66,E6,00,66,98,06,00,1E,00,00,98,0
1,22,06,66,00,60,80,66,E6,80,98,80,E0,9E,1E,00,98,06,00,1E,00,00,98,0
2,44,06,66,00,60,80,66,E6,80,98,80,7E,E6,00,60,60,06,00,1E,00,00,98,0
3,66,06,66,00,60,80,66,E6,80,98,80,7E,98,00,98,80,66,00,1E,00,00,98,0
4,88,06,66,00,60,80,66,E6,80,98,80,FE,60,00,78,66,00,1E,00,00,78,98,0
5,109,06,66,00,60,80,66,E6,80,98,80,E6,80,18,FE,66,00,1E,00,00,E0,98,0
6,129,06,66,00,60,80,66,E6,80,98,80,18,18,E0,66,00,1E,00,00,F8,FE,98,0
7,149,06,66,00,60,80,66,E6,80,98,80,06,60,00,06,66,00,1E,00,00,1E,98,0
8,169,06,66,00,60,80,66,E6,80,98,80,7E,60,00,00,66,00,1E,00,00,80,98,0
9,190,06,66,00,60,80,66,E6,80,98,80,78,98,00,66,66,00,1E,00,00,E0,98,0
10,211,06,66,00,60,80,66,E6,80,98,80,FE,98,1E,1E,60,06,00,1E,00,00,98,0
11,233,06,66,00,60,80,66,E6,80,98,80,78,1E,60,98,06,00,1E,00,00,9E,98,0
12,254,06,66,00,60,80,66,E6,80,98,80,7E,1E,86,98,06,00,1E,00,00,06,98,0
13,274,06,66,00,60,80,66,E6,80,9E,80,00,1E,86,98,66,00,1E,00,00,9E,9E,0
14,295,06,66,00,60,80,66,E6,80,9E,80,9E,86,1E,66,66,06,00,1E,00,00,9E,0
15,317,06,66,00,60,80,66,E6,80,9E,80,1E,E6,00,9E,66,06,00,1E,00,00,9E,0
16,339,06,66,00,60,80,66,E6,80,9E,80,66,98,00,78,66,06,00,1E,00,00,9E,0
17,361,06,66,00,60,80,66,E6,80,98,80,FE,FE,1E,18,66,00,00,1E,00,00,98,0
18,383,06,66,00,60,80,66,E6,80,98,80,1E,9E,00,98,86,66,00,1E,00,00,98,0
19,405,06,66,00,60,80,66,E6,80,98,80,00,E6,00,9E,60,06,00,1E,00,00,98,0
20,427,06,66,00,60,80,66,E6,80,98,80,FE,98,1E,00,60,06,00,1E,00,00,98,0
21,449,06,66,00,60,80,66,E6,80,98,80,66,98,00,80,80,66,00,1E,00,00,98,0
22,471,06,66,00,60,80,66,E6,80,98,80,00,98,00,18,66,00,1E,00,00,1E,98,0
23,492,06,66,00,60,80,66,E6,80,98,80,1E,98,00,78,66,00,1E,00,00,98,98,0
24,513,06,66,00,60,80,66,E6,80,98,80,98,86,1E,80,80,66,00,1E,00,00,98,0
25,535,06,66,00,60,80,66,E6,80,98,80,9E,98,00,E6,80,66,00,1E,00,00,98,0
26,557,06,66,00,60,80,66,E6,80,98,80,86,66,00,66,60,06,00,1E,00,00,98,0
27,579,06,66,00,60,80,66,E6,80,98,80,9E,E6,00,E6,60,06,00,1E,00,00,98,0
28,601,06,66,00,60,80,66,E6,80,98,80,1E,E6,00,98,60,06,00,1E,00,00,98,0
29,623,06,66,00,60,80,66,E6,80,98,80,98,9E,1E,86,60,06,00,1E,00,00,98,0
30,645,06,66,00,60,80,66,E6,80,98,80,FE,E6,00,F8,60,06,00,1E,00,00,98,0
31,667,06,66,00,60,80,66,E6,80,98,80,E0,9E,00,18,98,06,00,1E,00,00,98,0
32,689,06,66,00,60,80,66,E6,80,98,80,9E,1E,66,66,00,00,1E,00,00,06,98,0
33,710,06,66,00,60,80,66,E6,80,9E,80,00,60,00,86,98,66,00,1E,00,00,9E,0
34,741,06,66,00,60,80,66,E6,80,9E,80,86,80,1E,7E,66,00,00,1E,00,00,9E,0
35,763,06,66,00,60,80,66,E6,80,86,80,00,1E,00,9E,7E,06,00,1E,00,00,86,0
36,785,06,66,00,60,80,66,E6,80,7E,80,1E,00,18,66,00,00,1E,00,00,7E,7E,0
37,805,06,66,00,60,80,66,E6,80,7E,66,18,E0,98,66,00,1E,00,00,F8,F8,7E,0
38,825,06,66,00,60,80,66,E6,80,66,80,06,9E,7E,06,00,1E,00,00,E6,FE,66,0
39,845,06,66,00,60,80,66,E6,80,78,1E,18,00,60,60,06,00,1E,00,00,1E,78,0
40,866,06,66,00,60,80,66,E6,80,66,1E,18,60,66,00,1E,00,00,18,06,66,66,0
41,904,06,66,00,60,80,66,E6,80,66,98,18,66,66,00,1E,00,00,98,FE,06,66,0
42,944,06,66,00,60,80,66,E6,80,66,00,06,E6,78,06,00,1E,00,00,7E,06,66,0
43,984,06,66,00,60,80,66,E6,80,66,9E,66,00,E0,F8,66,00,1E,00,00,06,66,0
44,1005,06,66,00,60,80,66,E6,80,60,00,66,98,66,06,00,1E,00,00,1E,FE,60,0
45,1025,06,66,00,60,80,66,E6,80,60,98,E6,06,66,66,00,00,1E,00,00,80,60,0
46,1046,06,66,00,60,80,66,E6,80,60,9E,98,06,60,66,06,00,1E,00,00,80,60,0
47,1067,06,66,00,60,80,66,E6,80,60,06,06,1E,98,06,00,1E,00,00,E6,E0,60,0
48,1087,06,66,00,60,80,66,E6,80,60,9E,60,00,E0,98,06,00,1E,00,00,00,60,0
49,1108,06,66,00,60,80,66,E6,80,1E,1E,06,78,98,06,00,1E,00,00,06,06,1E,0
50,1148,06,66,00,60,80,66,E6,80,1E,E6,06,06,98,06,00,1E,00,00,78,E0,1E,0
51,1168,06,66,00,60,80,66,E6,80,60,66,60,00,9E,98,66,00,1E,00,00,86,60,0
52,1189,06,66,00,60,80,66,E6,80,1E,9E,9E,00,18,98,06,00,1E,00,00,66,1E,0
53,1209,06,66,00,60,80,66,E6,80,1E,18,06,78,98,06,00,1E,00,00,00,E0,1E,0
54,1229,06,66,00,60,80,66,E6,80,1E,78,06,18,98,06,00,1E,00,00,00,06,1E,0
55,1269,06,66,00,60,80,66,E6,80,1E,00,9E,00,98,60,06,00,1E,00,00,18,1E,0
56,1290,06,66,00,60,80,66,E6,80,1E,18,78,00,F8,80,78,00,1E,00,00,86,1E,0
57,1311,06,66,00,60,80,66,E6,80,1E,66,78,00,F8,80,78,00,1E,00,00,E0,1E,0
58,1332,06,66,00,60,80,66,E6,80,1E,66,06,80,80,78,00,1E,00,00,78,FE,1E,0
59,1352,06,66,00,60,80,66,E6,80,1E,66,66,06,78,00,1E,00,00,FE,E6,06,1E,0
60,1404,06,66,00,60,80,66,E6,80,1E,86,9E,00,E6,78,00,1E,00,00,F8,98,1E,0
61,1438,06,66,00,60,80,66,E6,80,1E,06,06,18,78,00,1E,00,00,E0,9E,FE,1E,0
62,1464,06,66,00,60,80,66,E6,80,1E,06,06,06,78,00,1E,00,00,9E,9E,06,1E,0
63,1502,06,66,00,60,80,66,E6,80,1E,00,9E,00,FE,80,7E,00,1E,00,00,86,1E,0
64,1532,06,66,00,60,80,66,E6,80,1E,E0,E6,06,F8,80,7E,00,1E,00,00,60,1E,0
65,1553,06,66,00,60,80,66,E6,80,1E,78,06,78,60,00,00,1E,00,00,78,06,1E,0
66,1593,06,66,00,60,80,66,E6,80,1E,F8,F8,06,98,60,00,00,1E,00,00,18,1E,0
67,1614,06,66,00,60,80,66,E6,80,1E,06,7E,00,86,60,00,00,1E,00,00,60,1E,0
68,1635,06,66,00,60,80,66,E6,80,1E,E0,06,60,98,00,00,1E,00,00,98,80,1E,0
69,1655,06,66,00,60,80,66,E6,80,1E,E6,06,66,98,00,00,1E,00,00,E0,80,1E,0
70,1675,06,66,00,60,80,66,E6,80,1E,86,06,60,98,00,00,1E,00,00,7E,06,1E,0
71,1715,06,66,00,60,80,66,E6,80,60,FE,80,06,98,86,7E,00,1E,00,00,60,60,0
72,1736,06,66,00,60,80,66,E6,80,60,7E,06,80,86,80,80,00,1E,00,00,9E,60,0
73,1757,06,66,00,60,80,66,E6,80,60,9E,60,00,F8,86,80,80,00,1E,00,00,60,0
74,1779,06,66,00,60,80,66,E6,80,60,80,60,00,E6,86,80,80,00,1E,00,00,60,0
75,1801,06,66,00,60,80,66,E6,80,60,86,60,00,E6,86,80,80,00,1E,00,00,60,0
76,1823,06,66,00,60,80,66,E6,80,60,66,60,00,E0,86,80,80,00,1E,00,00,60,0
77,1845,06,66,00,60,80,66,E6,80,60,66,60,00,E6,86,80,80,00,1E,00,00,60,0
78,1867,06,66,00,60,80,66,E6,80,60,7E,98,00,78,18,80,00,1E,00,00,86,60,0
79,1888,06,66,00,60,80,66,E6,80,60,7E,98,00,78,18,80,00,1E,00,00,86,60,0
80,1909,06,66,00,60,80,66,E6,80,60,60,98,00,78,18,80,00,1E,00,00,78,60,0
81,1930,06,66,00,60,80,66,E6,80,60,06,98,00,66,18,80,00,1E,00,00,18,60,0
82,1951,06,66,00,60,80,66,E6,80,60,FE,86,06,60,18,80,00,1E,00,00,FE,60,0
83,1972,06,66,00,60,80,66,E6,80,60,18,98,00,66,18,80,00,1E,00,00,1E,60,0
84,1993,06,66,00,60,80,66,E6,80,60,06,98,00,66,18,80,00,1E,00,00,18,60,0
85,2014,06,66,00,60,80,66,E6,80,60,FE,86,06,66,18,80,00,1E,00,00,00,60,0
86,2035,06,66,00,60,80,66,E6,80,60,FE,86,06,60,18,80,00,1E,00,00,FE,60,0
87,2056,06,66,00,60,80,66,E6,80,60,E6,86,06,1E,18,80,00,1E,00,00,E0,60,0
88,2077,06,66,00,60,80,66,E6,80,60,86,86,06,18,18,80,00,1E,00,00,7E,60,0
89,2098,06,66,00,60,80,66,E6,80,60,66,98,00,06,18,80,00,1E,00,00,18,60,0
90,2119,06,66,00,60,80,66,E6,80,60,66,98,00,06,18,80,00,1E,00,00,18,60,0
91,2140,06,66,00,60,80,66,E6,80,60,78,98,00,06,18,80,00,1E,00,00,1E,60,0
92,2161,06,66,00,60,80,66,E6,80,60,66,98,00,06,18,80,00,1E,00,00,18,60,0
93,2182,06,66,00,60,80,66,E6,80,60,66,98,00,06,18,80,00,1E,00,00,18,60,0
94,2210,06,66,00,60,80,66,E6,80,60,18,98,00,00,18,80,00,1E,00,00,F8,60,0
95,2252,06,66,00,60,80,66,E6,80,60,FE,60,00,00,18,80,00,1E,00,00,9E,60,0
96,2280,06,66,00,60,80,66,E6,80,60,18,98,00,06,18,80,00,1E,00,00,FE,60,0
97,2301,06,66,00,60,80,66,E6,80,60,86,86,06,1E,18,80,00,1E,00,00,80,60,0
98,2322,06,66,00,60,80,66,E6,80,60,98,86,06,1E,18,80,00,1E,00,00,86,60,0
99,2343,06,66,00,60,80,66,E6,80,60,80,86,06,18,18,80,00,1E,00,00,78,60,0
100,2364,06,66,00,60,80,66,E6,80,60,86,86,06,1E,18,80,00,1E,00,00,80,60,0
101,2385,06,66,00,60,80,66,E6,80,60,E6,86,06,1E,18,80,00,1E,00,00,E0,60,0
102,2406,06,66,00,60,80,66,E6,80,60,F8,86,06,60,18,80,00,1E,00,00,F8,60,0
103,2427,06,66,00,60,80,66,E6,80,60,E6,86,06,60,18,80,00,1E,00,00,E6,60,0
104,2448,06,66,00,60,80,66,E6,80,60,06,98,00,66,18,80,00,1E,00,00,18,60,0
105,2469,06,66,00,60,80,66,E6,80,60,E6,86,06,60,18,80,00,1E,00,00,E6,60,0
106,2490,06,66,00,60,80,66,E6,80,60,E6,86,06,60,18,80,00,1E,00,00,E6,60,0
107,2511,06,66,00,60,80,66,E6,80,60,1E,98,00,66,18,80,00,1E,00,00,60,60,0
108,2532,06,66,00,60,80,66,E6,80,60,7E,98,00,78,18,80,00,1E,00,00,86,60,0
109,2553,06,66,00,60,80,66,E6,80,60,86,98,00,7E,18,80,00,1E,00,00,E0,60,0
110,2574,06,66,00,60,80,66,E6,80,60,1E,98,00,66,18,80,00,1E,00,00,60,60,0
111,2595,06,66,00,60,80,66,E6,80,60,1E,98,00,78,18,80,00,1E,00,00,66,60,0
112,2616,06,66,00,60,80,66,E6,80,60,98,98,00,7E,18,80,00,1E,00,00,E6,60,0
113,2637,06,66,00,60,80,66,E6,80,60,9E,98,00,80,18,80,00,1E,00,00,FE,60,0
114,2658,06,66,00,60,80,66,E6,80,60,9E,98,00,80,18,80,00,1E,00,00,FE,60,0
115,2679,06,66,00,60,80,66,E6,80,60,7E,98,00,78,18,80,00,1E,00,00,86,60,0
116,2700,06,66,00,60,80,66,E6,80,60,66,98,00,66,18,80,00,1E,00,00,78,60,0
117,2721,06,66,00,60,80,66,E6,80,60,1E,98,00,66,18,80,00,1E,00,00,60,60,0
118,2742,06,66,00,60,80,66,E6,80,60,18,98,00,60,18,80,00,1E,00,00,18,60,0
119,2763,06,66,00,60,80,66,E6,80,60,00,98,00,60,18,80,00,1E,00,00,00,60,0
120,2784,06,66,00,60,80,66,E6,80,60,06,98,00,60,18,80,00,1E,00,00,06,60,0
121,2805,06,66,00,60,80,66,E6,80,60,06,98,00,60,18,80,00,1E,00,00,06,60,0
122,2826,06,66,00,60,80,66,E6,80,60,1E,98,00,66,18,80,00,1E,00,00,60,60,0
123,2847,06,66,00,60,80,66,E6,80,60,7E,98,00,78,18,80,00,1E,00,00,86,60,0
124,2868,06,66,00,60,80,66,E6,80,60,86,98,00,78,18,80,00,1E,00,00,9E,60,0
125,2889,06,66,00,60,80,66,E6,80,60,98,98,00,7E,18,80,00,1E,00,00,E6,60,0
126,2910,06,66,00,60,80,66,E6,80,60,7E,98,00,78,18,80,00,1E,00,00,86,60,0
127,2940,06,66,00,60,80,66,E6,80,60,60,98,00,66,18,80,00,1E,00,00,66,60,0
128,2961,06,66,00,60,80,66,E6,80,60,1E,98,00,60,18,80,00,1E,00,00,1E,60,0
129,2982,06,66,00,60,80,66,E6,80,60,06,98,00,60,18,80,00,1E,00,00,06,60,0
130,3003,06,66,00,60,80,66,E6,80,60,18,98,00,66,18,80,00,1E,00,00,1E,60,0
131,3024,06,66,00,60,80,66,E6,80,60,60,98,00,66,18,80,00,1E,00,00,66,60,0
132,3045,06,66,00,60,80,66,E6,80,60,66,98,00,7E,18,80,00,1E,00,00,80,60,0
133,3066,06,66,00,60,80,66,E6,80,60,06,66,E0,18,80,00,1E,00,00,86,9E,60,0
134,3086,06,66,00,60,80,66,E6,80,60,00,66,00,00,06,80,00,1E,00,00,E0,60,0
135,3107,06,66,00,60,80,66,E6,80,60,18,66,78,06,80,00,1E,00,00,60,F8,60,0
136,3127,06,66,00,60,80,66,E6,80,60,06,66,E0,98,80,80,00,1E,00,00,86,60,0
137,3148,06,66,00,60,80,66,E6,80,60,66,06,18,66,80,00,1E,00,00,1E,06,60,0
138,3187,06,66,00,60,80,66,E6,80,60,E0,E6,06,FE,66,80,00,1E,00,00,7E,60,0
139,3207,06,66,00,60,80,66,E6,80,60,06,78,00,78,66,80,00,1E,00,00,1E,60,0
140,3228,06,66,00,60,80,66,E6,80,60,E6,E6,06,06,06,80,00,1E,00,00,98,60,0
141,3248,06,66,00,60,80,66,E6,80,60,78,9E,00,18,06,80,00,1E,00,00,60,60,0
142,3268,06,66,00,60,80,66,E6,80,60,00,7E,00,9E,9E,80,80,00,1E,00,00,60,0
143,3290,06,66,00,60,80,66,E6,80,60,78,9E,00,E6,66,00,00,1E,00,00,F8,60,0
144,3311,06,66,00,60,80,66,E6,80,60,E0,9E,00,78,E6,00,00,1E,00,00,E6,60,0
145,3332,06,66,00,60,80,66,E6,80,60,86,7E,00,06,E6,00,00,1E,00,00,66,60,0
146,3353,06,66,00,60,80,66,E6,80,60,1E,06,66,E6,00,00,1E,00,00,1E,E0,60,0
147,3373,06,66,00,60,80,66,E6,80,60,F8,F8,06,9E,9E,7E,00,1E,00,00,60,60,0
148,3394,06,66,00,60,80,66,E6,80,60,06,7E,00,80,9E,7E,00,1E,00,00,60,60,0
149,3415,06,66,00,60,80,66,E6,80,60,60,06,1E,E6,00,00,1E,00,00,18,FE,60,0
150,3435,06,66,00,60,80,66,E6,80,60,06,9E,00,F8,66,00,00,1E,00,00,98,60,0
151,3455,06,66,00,60,80,66,E6,80,60,9E,9E,00,7E,86,00,00,1E,00,00,E0,60,0
152,3476,06,66,00,60,80,66,E6,80,60,80,F8,06,60,86,00,00,1E,00,00,78,60,0
153,3497,06,66,00,60,80,66,E6,80,60,18,9E,00,F8,66,00,00,1E,00,00,98,60,0
154,3518,06,66,00,60,80,66,E6,80,60,66,7E,00,1E,86,00,00,1E,00,00,18,60,0
155,3539,06,66,00,60,80,66,E6,80,60,7E,9E,00,F8,66,00,00,1E,00,00,FE,60,0
156,3559,06,66,00,60,80,66,E6,80,60,60,06,78,66,00,00,1E,00,00,60,06,60,0
157,3597,06,66,00,60,80,66,E6,80,60,FE,F8,06,FE,66,00,00,1E,00,00,80,60,0
158,3618,06,66,00,60,80,66,E6,80,60,80,66,98,98,78,00,1E,00,00,E0,E6,60,0
159,3638,06,66,00,60,80,66,E6,80,60,1E,9E,00,60,86,00,00,1E,00,00,06,60,0
160,3658,06,66,00,60,80,66,E6,80,66,66,66,00,86,78,00,00,1E,00,00,86,66,0
161,3679,06,66,00,60,80,66,E6,80,66,1E,66,60,78,00,1E,00,00,18,FE,06,66,0
162,3719,06,66,00,60,80,66,E6,80,66,F8,F8,06,06,9E,06,00,1E,00,00,86,66,0
163,3740,06,66,00,60,80,66,E6,80,66,F8,78,00,98,E6,66,00,1E,00,00,18,66,0
164,3761,06,66,00,60,80,66,E6,80,78,98,60,00,60,9E,06,00,1E,00,00,86,78,0
165,3782,06,66,00,60,80,66,E6,80,66,80,9E,00,80,E6,66,00,1E,00,00,98,66,0
166,3803,06,66,00,60,80,66,E6,80,78,80,9E,00,E0,66,00,1E,00,00,FE,F8,78,0
167,3823,06,66,00,60,80,66,E6,80,78,86,86,06,1E,66,00,1E,00,00,7E,FE,78,0
168,3843,06,66,00,60,80,66,E6,80,78,06,18,1E,66,00,1E,00,00,00,FE,06,78,0
169,3881,06,66,00,60,80,66,E6,80,78,66,06,F8,9E,06,00,1E,00,00,F8,E6,78,0
170,3901,06,66,00,60,80,66,E6,80,7E,9E,60,00,FE,60,06,00,1E,00,00,7E,7E,0
171,3922,06,66,00,60,80,66,E6,80,78,00,98,00,86,9E,06,00,1E,00,00,60,78,0
172,3943,06,66,00,60,80,66,E6,80,78,E6,60,00,60,7E,06,00,1E,00,00,E0,78,0
173,3964,06,66,00,60,80,66,E6,80,7E,06,60,00,80,80,66,00,1E,00,00,78,7E,0
174,3984,06,66,00,60,80,66,E6,80,66,FE,FE,06,E0,E6,66,00,1E,00,00,66,66,0
175,4004,06,66,00,60,80,66,E6,80,78,00,98,00,06,66,00,1E,00,00,E0,06,78,0
176,4042,06,66,00,60,80,66,E6,80,66,80,06,60,9E,06,00,1E,00,00,78,06,66,0
177,4082,06,66,00,60,80,66,E6,80,7E,60,78,00,F8,66,06,00,1E,00,00,FE,7E,0
178,4103,06,66,00,60,80,66,E6,80,7E,7E,7E,00,06,98,06,00,1E,00,00,66,7E,0
179,4123,06,66,00,60,80,66,E6,80,78,06,66,06,9E,06,00,1E,00,00,E6,06,78,0
180,4163,06,66,00,60,80,66,E6,80,7E,00,18,00,78,60,06,00,1E,00,00,1E,7E,0
181,4184,06,66,00,60,80,66,E6,80,80,80,98,80,18,00,66,00,00,1E,00,00,80,0
182,4206,06,66,00,60,80,66,E6,80,86,80,FE,98,18,60,60,00,1E,00,00,06,86,0
183,4226,06,66,00,60,80,66,E6,80,7E,18,66,00,98,7E,00,00,1E,00,00,7E,7E,0
184,4247,06,66,00,60,80,66,E6,80,78,9E,F8,06,98,1E,00,00,1E,00,00,FE,78,0
185,4268,06,66,00,60,80,66,E6,80,78,86,06,86,F8,60,00,1E,00,00,E0,E6,78,0
186,4295,06,66,00,60,80,66,E6,80,80,80,F8,E0,18,98,86,60,00,1E,00,00,80,0
187,4338,06,66,00,60,80,66,E6,80,E0,80,E6,98,18,FE,FE,60,00,1E,00,00,E0,0
188,4367,06,66,00,60,80,66,E6,80,E0,80,FE,98,18,98,F8,60,00,1E,00,00,E0,0
189,4389,06,66,00,60,80,66,E6,80,9E,80,FE,18,9E,78,00,00,1E,00,00,98,9E,0
190,4410,06,66,00,60,80,66,E6,80,E0,80,9E,80,18,E0,E0,60,00,1E,00,00,E0,0
191,4432,06,66,00,60,80,66,E6,80,9E,80,60,86,00,18,66,00,00,1E,00,00,9E,0
192,4454,06,66,00,60,80,66,E6,80,98,80,FE,18,60,18,00,00,1E,00,00,18,98,0
193,4475,06,66,00,60,80,66,E6,80,9E,80,E0,60,00,1E,06,00,00,1E,00,00,9E,0
194,4497,06,66,00,60,80,66,E6,80,9E,80,9E,86,18,78,06,00,00,1E,00,00,9E,0
195,4519,06,66,00,60,80,66,E6,80,9E,80,86,86,18,60,06,00,00,1E,00,00,9E,0
196,4541,06,66,00,60,80,66,E6,80,9E,80,60,18,00,66,06,00,00,1E,00,00,9E,0
197,4563,06,66,00,60,80,66,E6,80,9E,80,FE,66,00,FE,66,00,00,1E,00,00,9E,0
198,4585,06,66,00,60,80,66,E6,80,9E,80,06,60,00,FE,98,60,00,1E,00,00,9E,0
199,4607,06,66,00,60,80,66,E6,80,9E,80,66,60,00,FE,98,60,00,1E,00,00,9E,0
200,4629,06,66,00,60,80,66,E6,80,9E,80,86,60,00,06,66,00,00,1E,00,00,9E,0
201,4651,06,66,00,60,80,66,E6,80,9E,80,E0,60,00,18,66,00,00,1E,00,00,9E,0
202,4673,06,66,00,60,80,66,E6,80,9E,80,60,18,00,60,66,00,00,1E,00,00,9E,0
203,4695,06,66,00,60,80,66,E6,80,9E,80,80,86,18,66,66,00,00,1E,00,00,9E,0
204,4726,06,66,00,60,80,66,E6,80,9E,80,66,18,00,18,66,00,00,1E,00,00,9E,0
205,4748,06,66,00,60,80,66,E6,80,9E,80,66,18,60,06,00,00,1E,00,00,86,9E,0
206,4769,06,66,00,60,80,66,E6,80,9E,80,86,80,18,66,06,00,00,1E,00,00,9E,0
207,4791,06,66,00,60,80,66,E6,80,9E,80,86,80,18,66,06,00,00,1E,00,00,9E,0
208,4813,06,66,00,60,80,66,E6,80,98,80,60,18,1E,06,00,00,1E,00,00,78,98,0
209,4834,06,66,00,60,80,66,E6,80,7E,1E,06,00,60,00,1E,00,00,F8,86,06,7E,0
210,4873,06,66,00,60,80,66,E6,80,66,E6,66,00,7E,18,00,00,1E,00,00,E6,66,0
211,4894,06,66,00,60,80,66,E6,80,66,7E,66,06,18,00,00,1E,00,00,06,FE,66,0
212,4914,06,66,00,60,80,66,E6,80,66,FE,66,00,66,06,00,00,1E,00,00,E6,66,0
213,4935,06,66,00,60,80,66,E6,80,66,98,78,00,7E,06,00,00,1E,00,00,98,66,0
214,4956,06,66,00,60,80,66,E6,80,78,E6,80,06,F8,78,00,00,1E,00,00,66,78,0
215,4977,06,66,00,60,80,66,E6,80,78,1E,9E,00,18,60,00,1E,00,00,FE,E0,78,0
216,4997,06,66,00,60,80,66,E6,80,7E,98,E0,18,60,06,00,00,1E,00,00,98,7E,0
217,5018,06,66,00,60,80,66,E6,80,7E,9E,60,00,80,FE,60,00,1E,00,00,F8,7E,0
218,5039,06,66,00,60,80,66,E6,80,78,E6,98,00,E6,1E,00,00,1E,00,00,60,78,0
219,5059,06,66,00,60,80,66,E6,80,78,78,78,00,66,60,00,1E,00,00,78,06,78,0
220,5099,06,66,00,60,80,66,E6,80,7E,60,18,18,60,00,00,1E,00,00,18,06,7E,0
221,5138,06,66,00,60,80,66,E6,80,78,98,F8,18,FE,86,60,00,1E,00,00,60,78,0
222,5158,06,66,00,60,80,66,E6,80,7E,F8,9E,18,06,66,00,00,1E,00,00,9E,7E,0
223,5179,06,66,00,60,80,66,E6,80,78,80,FE,18,7E,18,00,00,1E,00,00,98,78,0
224,5200,06,66,00,60,80,66,E6,80,7E,66,18,86,06,00,00,1E,00,00,98,98,7E,0
225,5220,06,66,00,60,80,66,E6,80,7E,9E,9E,18,FE,98,60,00,1E,00,00,78,7E,0
226,5241,06,66,00,60,80,66,E6,80,78,98,F8,18,7E,18,00,00,1E,00,00,E0,78,0
227,5262,06,66,00,60,80,66,E6,80,7E,18,18,9E,9E,60,00,1E,00,00,86,E0,7E,0
228,5282,06,66,00,60,80,66,E6,80,7E,E6,66,00,80,66,00,00,1E,00,00,06,7E,0
229,5303,06,66,00,60,80,66,E6,80,78,FE,78,00,1E,60,00,00,1E,00,00,E6,78,0
230,5324,06,66,00,60,80,66,E6,80,7E,86,9E,18,E6,66,00,00,1E,00,00,18,7E,0
231,5345,06,66,00,60,80,66,E6,80,78,06,18,FE,80,60,00,1E,00,00,9E,FE,78,0
232,5365,06,66,00,60,80,66,E6,80,78,60,18,66,60,00,1E,00,00,60,FE,06,78,0
233,5404,06,66,00,60,80,66,E6,80,66,78,9E,00,00,60,00,1E,00,00,FE,E6,66,0
234,5424,06,66,00,60,80,66,E6,80,78,60,60,00,98,FE,60,00,1E,00,00,80,78,0
235,5445,06,66,00,60,80,66,E6,80,66,00,78,00,86,1E,00,00,1E,00,00,18,66,0
236,5466,06,66,00,60,80,66,E6,80,78,86,60,00,06,60,00,00,1E,00,00,66,78,0
237,5487,06,66,00,60,80,66,E6,80,66,E6,18,E6,80,60,00,1E,00,00,60,06,66,0
238,5525,06,66,00,60,80,66,E6,80,66,E0,80,06,FE,78,06,00,1E,00,00,66,66,0
239,5546,06,66,00,60,80,66,E6,80,66,80,F8,06,E0,66,00,1E,00,00,F8,E6,66,0
240,5566,06,66,00,60,80,66,E6,80,66,78,66,78,66,00,1E,00,00,78,06,66,66,0
241,5605,06,66,00,60,80,66,E6,80,66,80,66,00,80,F8,66,00,1E,00,00,98,66,0
242,5626,06,66,00,60,80,66,E6,80,60,80,F8,06,60,66,00,1E,00,00,66,F8,60,0
