# HK32F030M SRAM + Peripheral Register Dump (v2 — with AP reinit)
# Date: Wed May 20 10:14:15 2026 GMT-0400
# RDP is active (0x00) — flash reads blocked.
# SRAM and peripherals are readable.

# SRAM (0x20000000) - live program state
20000000: 00 0b 01 00
20000004: 00 00 00 00
20000008: 54 bb 02 00
2000000c: 00 00 00 00
20000010: 00 00 00 00
20000014: ff ff ff ff
20000018: 00 00 00 00
2000001c: 00 00 00 00
20000020: 00 00 00 00
20000024: 00 00 00 00
20000028: 00 00 00 00
2000002c: ff ff ff ff
20000030: 00 00 00 00
20000034: 00 00 00 00
20000038: 00 00 00 00
2000003c: ff ff ff ff
20000040: 95 08 00 00
20000044: 00 00 00 00
20000048: 00 00 00 00
2000004c: 00 00 00 00
20000050: 00 00 00 00
20000054: 00 00 00 00
20000058: 00 00 00 00
2000005c: 00 00 00 00
20000060: ff 00 00 00
20000064: 00 00 00 00
20000068: 00 00 00 00
2000006c: 40 00 00 00
20000070: 00 00 30 49
20000074: 00 00 00 00
20000078: 00 00 00 00
2000007c: 01 00 00 00
20000080: 00 00 00 00
20000084: 00 00 00 00
20000088: 00 00 00 00
2000008c: 08 08 08 06
20000090: 06 06 04 04
20000094: 04 00 00 00
20000098: 01 00 00 00
2000009c: 00 00 00 00
200000a0: 00 00 00 00
200000a4: 00 00 00 00
200000a8: 00 00 00 00
200000ac: 00 00 00 00
200000b0: 00 00 00 00
200000b4: 00 00 00 00
200000b8: 00 00 00 00
200000bc: 00 00 00 00
200000c0: 00 00 00 00
200000c4: 00 00 00 00
200000c8: 00 00 00 00
200000cc: 00 00 00 00
200000d0: 00 00 00 00
200000d4: 00 00 02 02
200000d8: 01 00 00 00
200000dc: 20 00 00 00
200000e0: 00 00 00 00
200000e4: 00 00 02 00
200000e8: 00 00 00 00
200000ec: 00 00 00 00
200000f0: ff ff ff ff
200000f4: 00 00 51 00
200000f8: 01 00 7b 01
200000fc: 00 00 00 00
20000100: 00 00 00 00
20000104: 00 00 00 00
20000108: 00 00 00 00
2000010c: 00 00 00 00
20000110: 00 00 00 00
20000114: 00 00 00 00
20000118: 00 00 00 00
2000011c: 00 00 00 00
20000120: 00 00 00 00
20000124: 00 00 00 00
20000128: 00 00 00 00
2000012c: 00 00 00 00
20000130: 00 00 00 00
20000134: 00 00 00 00
20000138: 00 00 00 00
2000013c: 00 00 00 00
20000140: 00 00 00 00
20000144: 00 00 00 00
20000148: 00 00 00 00
2000014c: 00 00 00 00
20000150: 00 00 00 00
20000154: 00 00 00 00
20000158: 00 00 00 00
2000015c: 00 00 00 00
20000160: 00 00 00 00
20000164: 00 00 00 00
20000168: 00 00 00 00
2000016c: 00 00 00 00
20000170: 00 00 00 00
20000174: 00 00 00 00
20000178: 00 00 00 00
2000017c: 00 00 00 00
20000180: 00 00 00 00
20000184: 00 00 00 00
20000188: 00 00 00 00
2000018c: 00 00 00 00
20000190: 00 00 00 00
20000194: 00 00 00 00
20000198: 00 00 00 00
2000019c: 00 00 00 00
200001a0: 00 00 00 00
200001a4: 00 00 00 00
200001a8: 00 00 00 00
200001ac: 00 00 00 00
200001b0: 00 00 00 00
200001b4: 00 00 00 00
200001b8: 00 00 00 00
200001bc: 00 00 00 00
200001c0: 00 00 00 00
200001c4: 00 00 00 00
200001c8: 00 00 00 00
200001cc: 00 00 00 00
200001d0: 00 00 00 00
200001d4: 00 00 00 00
200001d8: 00 00 00 00
200001dc: 00 00 00 00
200001e0: 00 00 00 00
200001e4: 00 00 00 00
200001e8: 00 00 00 00
200001ec: 00 00 00 00
200001f0: 00 00 00 00
200001f4: 00 00 00 00
200001f8: 00 00 00 00
200001fc: 00 00 00 00
20000200: 00 00 00 00
20000204: 00 00 00 00
20000208: 00 00 00 00
2000020c: 00 00 00 00
20000210: 00 00 00 00
20000214: 00 00 00 00
20000218: 00 00 00 00
2000021c: 00 00 00 00
20000220: 00 00 00 00
20000224: 00 00 00 00
20000228: 00 00 00 00
2000022c: 00 00 00 00
20000230: 00 00 00 00
20000234: 00 00 00 00
20000238: 00 00 00 00
2000023c: 00 00 00 00
20000240: 00 00 00 00
20000244: 00 00 00 00
20000248: 00 00 00 00
2000024c: 00 00 00 00
20000250: 00 00 00 00
20000254: 00 00 00 00
20000258: 00 00 00 00
2000025c: 00 00 00 00
20000260: 00 00 00 00
20000264: 00 00 00 00
20000268: 00 00 00 00
2000026c: 00 00 00 00
20000270: 00 00 00 00
20000274: 00 00 00 00
20000278: 00 00 00 00
2000027c: 00 00 00 00
20000280: 00 00 00 00
20000284: 00 00 00 00
20000288: 00 00 00 00
2000028c: ff 00 00 00
20000290: 00 00 00 00
20000294: 00 00 00 00
20000298: 00 00 00 00
2000029c: ff 00 00 00
200002a0: 00 00 00 00
200002a4: 00 00 00 00
200002a8: 00 00 00 00
200002ac: 00 00 00 00
200002b0: 00 00 00 00
200002b4: 00 00 00 00
200002b8: 00 00 00 00
200002bc: 00 00 00 00
200002c0: 00 00 00 00
200002c4: 00 00 00 00
200002c8: 00 00 00 00
200002cc: 00 00 00 00
200002d0: 00 00 00 00
200002d4: 00 00 00 00
200002d8: 00 00 00 00
200002dc: 00 00 00 00
200002e0: 00 00 00 00
200002e4: 00 00 00 00
200002e8: 00 00 00 00
200002ec: 00 00 00 00
200002f0: 00 00 00 00
200002f4: 00 00 00 00
200002f8: 00 00 00 00
200002fc: 00 00 00 00
20000300: 00 00 00 00
20000304: 00 00 00 00
20000308: 00 00 00 00
2000030c: 00 00 00 00
20000310: 00 00 00 00
20000314: 00 00 00 00
20000318: 00 00 00 00
2000031c: 00 00 00 00
20000320: 00 00 00 00
20000324: 00 00 00 00
20000328: 00 00 00 00
2000032c: 00 00 00 00
20000330: 00 00 00 00
20000334: 00 00 00 00
20000338: 00 00 00 00
2000033c: 00 00 00 00
20000340: 00 00 00 00
20000344: 00 00 00 00
20000348: 00 00 00 00
2000034c: 00 00 00 00
20000350: 00 00 00 00
20000354: 00 00 00 00
20000358: 00 00 00 00
2000035c: 00 00 00 00
20000360: 00 00 00 00
20000364: 00 00 00 00
20000368: 00 00 00 00
2000036c: 00 00 00 00
20000370: 00 00 00 00
20000374: 00 00 00 00
20000378: 00 00 00 00
2000037c: 00 00 00 00
20000380: 00 00 00 00
20000384: 00 00 00 00
20000388: 00 00 00 00
2000038c: 00 00 00 00
20000390: 00 00 00 00
20000394: 00 00 00 00
20000398: 00 00 00 00
2000039c: 00 00 00 00
200003a0: 00 00 00 00
200003a4: 00 00 00 00
200003a8: 00 00 00 00
200003ac: 00 00 00 00
200003b0: 00 00 00 00
200003b4: 00 00 00 00
200003b8: 00 00 00 00
200003bc: 00 00 00 00
200003c0: 00 00 00 00
200003c4: 00 00 00 00
200003c8: 00 00 00 00
200003cc: 00 00 00 00
200003d0: 00 00 00 00
200003d4: 00 00 00 00
